"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"67","SANTANDER","Santander ","Spain","Southern Europe","Europe",219,"es",,,,,,,,,,,66,"SANTANDER",,,,,1,1,"",1,1,1,1,,,,,,,,,,,,,"",178465,"2.012","INSTITUTO NACIONAL ESTADÍSTICA DE ESPAÑA","","","","","","",1167,1,,43,"168.331.305,79",43,"182.570.411,84",1,1,8,,6,3,2,2,"PRESTAMO",2,4,2,,"",,"NO SE CONOCE",,,,,"NO SE CONOCE",1,,3,"110% DE LOS INGRESOS CORRIENTES ANUALES",2,,"",1,"SURESTE","SUROESTE","NORESTE","NOROESTE","",4,4,4,3,2,,3,4,3,4,3,,4,4,3,4,4,,4,4,3,4,4,,4,4,3,4,3,,3,4,2,3,3,,3,3,3,4,3,,3,3,3,4,3,,,,,,,,3,4,3,4,4,,3,4,3,3,4,,"",1,1,1,1,,,,,"",,"",,,"",1,,5,1,"PLAN ESTRATÉGICO DE SANTANDER 2010-2020",,,,,,,,,,1,"PLAN GENERAL DE ORDENACIÓN URBANA DE SANTANDER",3,"",,"","URBANISMO - MEDIO AMBIENTE","ECONOMÍA, DESARROLLO EMPRESARIAL, INNOVACIÓN","DESARROLLO SOCIAL Y CULTURAL",,,,,1,,,,"",,,,,,,,,,,,,,"",1,4,4,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,3,,4,4,3,3,3,,4,4,4,4,3,,4,4,4,4,3,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,4,4,3,3,3,,4,4,3,3,3,,4,4,3,3,3,,4,4,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,"","",209,64.31,,40,"#VALUE!","#VALUE!"
"68","Sheffield","Sheffield","United Kingdom","Western Europe","Europe",123,"en",,,,,,,,,,,76,"Sheffield",,,,,2,,"",,,1,,1,,,,,,,,,,,,"",552698,"2011","Census 2011 (ONS)","2014","35.82%","2012","32.77%","2011","41.82%",7200,1,,46,"£1.429bn",46,"£1,429bn (Councils in England are legally required to set a balanced budget)",2,2,2,,3,3,,,"This is a complex question for English cities because we only actually have direct control over around 5% of funding raised locally through taxation and much of the tax collected goes back to Govt to reallocate (with the exception of the new localised business rate regime) and despite the ongoing reductions, we still receive a direct grant from Govt (£186m or 13% of revenue) and then a dedicated schools grant.  Around 57% of our current budget comes from central government and council tax only 12% of local funding comes from Council Tax",,7,,,"Again, difficult to define in England.  Around 13% of our budget comes from a dedicated grant from central government but we also then get around £362m in dedicated schools grant which comes to Sheffield from Government but then is effectively passported to schools.",11,"",,,,,"Don't know - but I can provide more information on this as Sheffield have been involved in a national asset mapping programme.",1,,3,"We can borrow within the restrictions of the Prudential Code.",1,,"Sheffield City Region",2,"","","","","",,3,3,,4,,,4,3,,4,,,3,3,,3,,,4,1,,4,,,,,,,,,1,1,1,3,,,3,2,,4,,,2,2,,4,,,3,2,,4,,,3,3,,3,,,3,,,4,,"This is complicated because of the funding arrangements that are in place in England and because of the varying footprints for services - eg. Sheffield's 'metro' area is Sheffield City Region but the policing, fire and rescue and transport footprint is for South Yorkshire.",1,1,1,1,1,,,,"",2,"",1,,"Standards Committees  - whistle blowing policies",1,,1,1,"Corporate Plan (this is for the city council. We also have a city strategy).",1,1,1,,,,1,,,,"",1,"The powers of the ITA are now held by the Combined Authority which has Transport Committee.  It has Elected Members from South Yorkshire on the Committee but these are elected councillors from their local authority (ie. they are not directly elected to serve on the Committee)",5,"","Driving economic growth","Reducing public budgets and lack of local control to deliver necessary public service reform","Health and social care (ageing population)",,,1,1,1,,,,"",1,,,,1,,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","I appreciate that the questionnaire requires broad questions to cover the different contexts of global cities.  If you want more specific information, I'd be happy to have a phone conversation to pick up on some of the complex issues we face in UK cities.",100,30.77,,39,"#VALUE!","#VALUE!"
"69","Stockholm","Stockholm","Sweden","Northern Europe","Europe",66,"en",,,,,,,,,,,197,"Stockholm",,,,,1,2,"",,,,,,,,,,,,,,,1,,"Cities in Sweden do not hold legislative powers.      Information on Stockholm's system of governance can be found here: http://www.stockholmannualreport.se/en/how-stockholm-is-governed/how-the-city-is-governed/",905184,"Jun 30, 14","Sttistics Sweden, http://scb.se/en_/","2010","82%","2006","79%","2002","78%",36280,12,12,121,"46.930 billion",121,"50.528 billion",1,2,11,,11,2,2,1,"",1,2,1,1,"",8,"70% of the land is owned by the city of Stockholm.",8,11,11,11,"",1,,3,"The City Council sets its own limit, at present SEK 35 billion.",2,,"",1,"District Councils","","","","",,4,,4,4,,,4,,2,3,,,4,,4,4,,,4,,4,4,,,4,,3,4,,,,,,,,,2,,4,4,,,4,,1,4,,,4,,2,4,,,2,,2,4,,,4,,2,4,,"More information on who is responsible for what in the Swedish system of governance can be found here: http://english.skl.se/municipalities_county_councils_and_regions",1,1,1,1,,,,,"",2,"",1,,"Internal control, audits, and various guidelines and policies.",1,,8,5,"Vision 2030",1,1,1,1,1,1,1,1,,,"",2,"",13,"Cycling, local roads, main roads and traffic management","Population growth","Housing","",,,,,,,,,"",,,,,,,,,,,,,,"",2,2,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Please note that all information on the finances and staff of the city of Stockholm only refers to the city's various administrations, and not to the parts of the city's activities that are implemented through city-owned companies.",110,33.85,,39,"#VALUE!","#VALUE!"
"70","Sultanbeyli Municipality","Sultanbeyli","Turkey","Western Asia","Asia",67,"en",,,,,,,,,,,225,"Sultanbeyli Municipality",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",,"2013","TUIK","2004","%76,25","2009","%85,19","2014","%89,19",343,5,5,136,"106.000.000",136,"98.000.000",1,2,4,,4,2,2,2,"",6,1,2,2,"",2,"",2,2,1,10,"",1,,2,"",1,,"Istanbul  Metropolitan Municipality",2,"","","","","",4,4,3,2,1,2,4,4,2,2,1,2,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,2,2,2,4,1,2,4,4,4,3,1,4,2,2,2,4,1,4,4,4,4,4,1,2,"",1,1,1,1,,,,1,"",2,"",1,,"Our municipality has the ethics commission.",1,,6,1,"Sultanbeyli municipal strategic plan 2009-2014",1,1,1,1,1,1,1,1,,,"",3,"",,"","building stock","education","urban planning",,,,,,,,1,"",,,,,,,,,,,1,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",139,42.77,,39,"#VALUE!","#VALUE!"
"71","Tampere","Tampere","Finland","Nothern Europe","Europe",115,"en",,,,,,,,,,,68,"Tampere",,,,,1,2,"",1,,,1,1,,1,,,,,,,,,,"",220618,"31.5.2015","City Statistics","2012","56,3%","2008","59,4%","2004","55,7%",,,2,43,"-2 083,6 MEUR (Million Euros)",43,"2 354,8 MEUR (Million Euros)",1,2,11,,9,3,2,2,"subsidies and grants, rental income, financial income, other income",,8,,,"",11,"",7,,,,"",1,,1,"",1,,"Joint Authority of Tampere City Region",2,"","","","","",1,4,,3,2,,1,3,,4,3,,1,4,,3,3,,2,4,,1,3,,1,3,,4,4,,1,4,,3,3,,2,4,,4,3,,1,4,,2,4,,2,4,,2,3,,1,3,,2,4,,2,4,,1,3,,"",1,1,1,1,1,,,,"",2,"",2,,"",1,,2,1,"Tampere, working together for a bright future, Tampere city strategy 2025",,,1,,,1,1,1,,,"",2,"Tampere city organisation has a purchasing department, which covers all other modes than the bus traffic. For the bus traffic we have a regional authority, which arranges it and is accountable to every municipal government in the region.",5,"","City's expenditure grows faster than its revenue","The demographic dependency ratio worsens as the number of older people increase","Economic downturn and structural changes in industrial and ICT sector challenge local businesses. Increasing unemployment challenge city finances.",,,,1,1,,,,"",,,,,,,,,,,,,1,"",1,3,4,2,2,1,,3,4,2,2,1,,,,,,,,1,3,2,2,2,,1,3,2,3,4,,2,4,3,3,2,,2,4,3,3,2,,2,4,2,3,4,,2,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,1,,2,4,1,2,1,,,,,,,,,,,,,,2,2,2,4,4,,2,3,2,4,4,,1,4,2,3,2,,"Tram is under planning in Tampere. It was a little bit difficult to measure all the different road types, as the city is responsible for all the streets in it's area, the national state responsible for roads.","",177,54.46,,38,"#VALUE!","#VALUE!"
"72","Tehran Municipality","Tehran","Iran","South-Central asia","Asia",85,"en",,,,,,,,,,,107,"Tehran Municipality",,,,,1,2,"",1,1,,1,,1,1,,,1,,1,,,,,"",8000000,"2014","Iran Statistc center","2013","40","","","","",55000,6,5,64,"1.50E+14",64,"1.60E+14",1,2,9,,2,2,2,10,"permit fee",1,2,,,"",2,"",4,,4,7,"private land",1,,3,"the councile approved the borrowing limitation",1,,"Great Tehran",1,"22 district","136ward","","","",,4,,,,,,,,,2,,,4,,,3,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,4,,,4,,,4,,,4,,,3,,"",1,,,,,,,,"",1,"",1,,"",2,,,,"",,,,,,,,1,,,"",1,"",5,"","Revenue","Trafic","air polution",1,,,,,,1,,"",1,,,1,1,1,1,1,1,1,,,,"",1,,3,,,1,,,2,,,,,,3,,,,,,3,,,,,,3,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,"","",104,32,,40,"#VALUE!","#VALUE!"
"73","teruel","Teruel","Spain","Southern Europe","Europe",212,"es",,,,,,,,,,,66,"teruel",,,,,1,2,"",1,,,,,,,,,,,,,,,,"",35000000,"2014","padrón de habitantes","","","","","","",300,,,,"",,"",1,1,,,,,,,"",,,,,"",,"",,,,,"",2,,,"",2,,"",1,"barrios pedaneos","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,,,,,,,,"",3,"",2,,"",2,,,,"",,,,,,,,,1,,"",3,"",,"","crear empleo","evitar que los jóvenes emigren","implantar carreras universitarias",,,,,1,,,,"",1,,1,,,,,,,,1,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",33,10.15,,37,"#VALUE!","#VALUE!"
"74","TUNJA","Tunja","Colombia","South America","Latin America and the Caribbean",198,"es",,,,,,,,,,,47,"TUNJA",,,,,1,1,"",1,,,,1,,,,,,,,,,,,"",181418,"2013","Proyecciones poblacionales, a partir del censo 2005","2011","65","","","","",,12,12,30,"$189,117,990,707.56",30,"$228,551,915,790.00",1,1,4,,10,2,,2,"Multas,rentas contractuales,transferencias",2,12,,,"",11,"",11,11,11,,"",1,,3,"indicadores de solvencia y sostenibilidad",2,,"",2,"","","","","",,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,3,2,,3,,,,,,4,,2,3,,,4,,,3,,,,,,,,,4,,3,,,,4,,2,2,,"",1,1,1,1,1,,,,"",3,"",1,,"A través de quejas   en la Oficina de Control Interno Disciplinario del Municipio y la Procuraduría General.  Además se adelantan acciones definidas en el Plan de Anticorrupción y de atención al ciudadano",1,,3,1,"Tunja, Hechos de Verdad",,,,,,,,,,,"",3,"",,"","Acceso a la Información","Accesibilidad","Estandarización",,,,,,,,,"",1,1,1,,1,1,,1,1,1,,,,"",1,,4,,,,,,4,,,,,,4,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,"","",94,28.92,,38,"#VALUE!","#VALUE!"
"75","Vanadzor","Vanadzor","Armenia","Western Asia","Asia",47,"en",,,,,,,,,,,7,"Vanadzor",,,,,1,1,"",1,,,,,,,,,,,,,,,,"",84700,"2014","Vanadzor Department of Statistics","","","","","","",158,,,4,"",,"",1,1,12,,12,,,,"",12,,,,"",11,"",11,,,,"",1,,3,"",2,,"",2,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,,,,,,,,"",3,"",2,,"",1,,2,1,"2013-2016 the four-year development plan",,,,,,,,,1,,"",1,"",3,"","to make the town a tourism center","the development of chemical industry","",,,,,1,,,,"",1,,,,,,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",40,12.31,,37,"#VALUE!","#VALUE!"
"76","Vila do Conde","Vila do Conde","Portugal","Southern Europe","Europe",197,"es",,,,,,,,,,,184,"Vila do Conde",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",79533,"Jul 3, 05","Censos 2011","2013","56,17%","2009","64,04%","2005","70,01%",1100,2,12,43,"78773419,49",43,"82965537,86",1,1,4,,7,2,3,3,"Imposto Único de Circulação, Derrama, Impostos Indirectos (Loteamentos, Ocupação da Via Pública)",1,4,1,,"",2,"4,23%",2,2,2,,"",1,,3,"26,094,885 €",1,,"Área Metropolitana do Porto",1,"Câmara Municipal","Junta de Freguesia","","","",1,2,2,2,4,,2,4,2,2,4,,2,3,3,4,4,,2,4,1,2,4,,3,4,1,2,4,,1,3,1,1,1,4,1,1,1,1,4,,1,4,1,1,4,,,,,,,,1,3,1,1,4,,3,4,1,1,4,,"",1,1,1,,,,,,"",2,"",1,,"Plano de Gestão de Riscos de Corrupção e Infrações Conexas",1,,20,4,"Plano Diretor Municipal",1,1,1,1,,1,1,1,,,"",3,"",,"","Desenvolvimento económico e emprego","Coesão e apoio social","Desenvolvimento sustentado e humanizado",,,,,1,,,,"",1,1,,,,,,,,,,,,"",1,1,4,1,1,2,,1,4,1,1,2,,1,4,1,1,2,,1,4,1,1,2,,1,3,1,1,2,,1,4,1,1,2,,1,2,1,1,2,4,1,2,1,1,4,,1,2,1,1,4,,1,3,1,1,4,,1,3,1,1,4,,1,2,1,1,4,,1,2,1,1,4,,1,4,1,1,4,,1,4,1,1,4,,1,3,1,1,4,,1,3,1,1,4,,1,3,1,1,4,,1,3,1,1,4,,1,3,1,1,4,,"","",227,69.85,,40,"#VALUE!","#VALUE!"
"77","Vila Pouca de Aguiar","Vila Pouca de Aguiar","Portugal","Southern Europe","Europe",210,"es",,,,,,,,,,,184,"Vila Pouca de Aguiar",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",13187,"2011","Censos 2011","2013","55,46","2009","58,77","2005","62,7",232,3,5,43,"17881688,44",43,"18170246,40",1,1,5,,6,4,,2,"",1,6,4,,"",2,"",2,2,2,,"",1,,3,"1,5 vezes média da receita corrente liquida cobrada nos ultimos 3 exercicios anteriores",2,,"",1,"Vila Pouca de Aguiar","Pedras Salgadas","...","","",3,4,1,1,2,,2,4,2,2,2,,2,4,3,2,3,,2,4,2,2,3,,3,3,2,2,2,,2,3,2,2,3,2,1,2,2,3,3,,2,4,2,3,3,,,,,,,,1,2,1,2,4,,2,4,2,2,3,,"",1,1,1,1,1,,,,"",2,"",1,,"",1,,1,1,"PLANO DE DESENVOLVIMENTO ESTRATÉGICO",1,1,,,1,1,1,1,,,"",3,"",,"","construção social de espaços de governabilidade assentes em bases institucionais variáveis,","promover novas práticas institucionais, de modo a diminuir as dependências em relação ao Estado e contrariar o isolamento institucional","turismo, os recursos endógenos e a identidade local são reconhecidos como algumas das maiores potencialidades para o desenvolvimento da região, podendo contribuir para a criação de mais-valias e para a construção de um projecto colectivo",1,1,1,1,1,,,,"",1,,1,,1,1,1,1,,,1,,,"",1,2,4,2,1,1,,2,3,1,1,1,,1,2,1,,,,2,3,2,,,,2,3,1,,2,,2,4,2,3,,,2,4,2,3,,,2,1,1,,,,2,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,,,,,2,4,1,1,2,,2,4,1,1,2,,2,3,2,2,3,,2,3,2,2,3,,1,2,1,2,4,,1,2,2,2,4,,1,2,2,2,2,,"","",212,65.23,,39,"#VALUE!","#VALUE!"
"78","Villa el Salvador","Villa El Salvador","Peru","South America","Latin America and the Caribbean",153,"es",,,,,,,,,,,173,"Villa el Salvador",,,,,1,1,"",1,1,,1,,,1,,1,1,1,1,,,,,"",388488,"2007","Instituto Nacional de Estadistica e Informatica","2010","1","2006","72%","2002","70%",800,5,,106,"45277816",106,"45277816",1,1,5,,4,2,2,,"",3,5,2,,"",4,"",3,,2,,"",1,,1,"",1,,"LIMA",2,"","","","","",,3,4,4,2,,,3,4,3,,,,4,3,3,,,,3,3,4,,,,4,3,3,,,,2,3,4,,,,3,3,4,,,,3,3,4,,,,,,,,,,2,3,4,,,,4,4,3,,,"",1,1,1,1,1,,,,"",2,"",1,,"Existen Normas Legales  y Mecanismos sociales que Regulan la participacion Ciudadana",1,,7,3,"Plan Integral de Desarrollo Concertado 2021",,,,,,,,,1,,"",2,"",5,"","Formalizar un sistema de Participacion Ciudadnana Local","Integrar a los actores en el Gobierno de  la Ciudad","Promover estudios de Prospectiva Concertados",1,,,1,,,1,,"",,1,,1,,,1,,,1,1,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Crreo que estamos en proceso de Desarrollar la Gobernanza en nuestra Ciudad",107,32.92,,39,"#VALUE!","#VALUE!"
"79","Ville de Montréal","Montreal","Canada","Northern America","Northern America",221,"fr",,,,,,,,,,,36,"Ville de Montréal",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",1600000,"2011","Ville de Montréal -- http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887840&_dad=portal&_schema=PORTAL","2013","42,33 %","2009","39.44%","2005","35.00%",29000,12,12,25,"5 G CAD",25,"5 G CAD",1,1,11,,9,4,,,"",2,2,1,1,"",11,"",11,11,11,,"",1,,3,"Tous les emprunts doivent être autorisés par le gouvernement de la province",1,,"Il y en a deux: l'Agglomération de Montréal (correspond à l'ile) et la Communauté du Montréal métropolitain (la grande région métro)",1,"Arrondissement -- véritable niveau de gouvernance","District --- pour but de frontière électorale seulement","","","",2,3,2,4,2,,3,4,3,2,1,,2,3,2,3,2,,1,2,1,4,3,,2,2,2,4,3,,4,4,2,2,1,,1,1,1,4,2,,1,1,1,4,2,,4,4,2,2,2,,1,4,4,2,1,,2,3,2,3,2,,"",1,1,1,1,1,,,,"",2,"",1,,"- Ligne de dénonciation  - Bureau de l'inspecteur général",2,,6,,"",1,,1,,,,1,,,,"",3,"",,"","Exode des jeunes familles de classe moyenne","Congestion / sous-investissement en tr. en commun","Finances publiques / Infrastructures désuetes",,1,1,1,,,,,"",,1,,,1,,,,,1,,,,"",1,4,3,1,2,1,,3,3,2,2,1,,1,1,1,4,1,,2,3,1,3,1,,2,4,2,2,1,,1,4,4,3,1,,1,4,4,1,1,,1,4,2,3,1,,1,4,2,1,1,,1,4,3,3,1,,1,4,3,1,1,,1,3,3,4,1,,1,3,3,1,1,,4,3,1,1,1,,4,1,1,1,1,,1,4,1,2,1,,2,4,1,1,1,,1,1,1,4,2,,1,1,2,4,1,,4,4,2,2,1,,"","",226,69.54,,39,"#VALUE!","#VALUE!"
"80","VIRACOCHAN - AYAHUANCO","Viracochan – Ayahuanco","Peru","South America","Latin America and the Caribbean",184,"es",,,,,,,,,,,173,"VIRACOCHAN - AYAHUANCO",,,,,1,1,"",1,1,,,,,,,1,1,,,,,,,"",10000,"2012","INEI","2010","65.00%","2006","42.00%","","",30,10,12,106,"VEINTICINCO MILLONES",106,"TREINTA MILLONES",1,1,2,,1,1,2,,"ALQUILER DE MAQUINARIAS",2,11,,,"",4,"",3,2,2,,"",1,,3,"SE EVALUA DE ACUERDO AL CANON QUE RECIBE EL MUNICIPIO",2,,"",1,"CENTROS POBLADOS","ANEXOS","BARRIOS","","",1,1,1,1,1,,1,3,1,1,1,,2,3,1,3,3,,1,3,1,1,2,,1,2,1,1,2,,1,1,1,1,2,,1,1,1,2,3,,1,2,1,2,3,,,,,,,,1,1,1,1,1,,1,2,1,2,1,,"",,1,,1,1,,,,"",1,"JOVENES, GENERO FEMENINO, COMUNIDADES NATIVAS",1,,"POR INTERMEDIO DE LA CONTRALORIA GENERAL DE LA REPUBLICA",1,,3,2,"PLAN DE DESARROLLO CONCERTADO LOCAL",,,,,,,,,1,,"",3,"",,"","PARTICIPACION CIUDADANA","VIGILANCIA CIUDADANA","TRANSPARENCIA Y RENDICION DE CUENTAS",,,,,1,,1,,"",,1,1,1,1,1,1,1,1,1,1,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",126,38.77,,40,"#VALUE!","#VALUE!"
